order_id,customer_id,currency,total_amount,placed_at,channel,region
ord_2006,cus_606,INR,4267.08,2026-08-03T04:30:00Z,android,IN
ord_2007,cus_607,INR,1061.22,2026-08-03T04:30:00Z,ios,IN
ord_2008,cus_608,INR,4225.35,2026-08-04T04:30:00Z,web,IN
ord_2009,cus_609,INR,1551.33,2026-07-25T04:30:00Z,android,IN
ord_2010,cus_610,INR,7364.75,2026-08-04T04:30:00Z,web,IN
ord_2011,cus_611,USD,147.74,2026-08-06T04:30:00Z,ios,IN
ord_2012,cus_612,INR,5491.27,2026-08-06T04:30:00Z,android,IN
ord_2013,cus_613,INR,1983.62,2026-08-05T04:30:00Z,web,IN
ord_2014,cus_614,INR,1730.49,2026-08-06T04:30:00Z,android,IN
ord_2015,cus_615,INR,1403.96,2026-08-09T04:30:00Z,ios,IN
ord_2016,cus_616,INR,4687.89,2026-07-30T04:30:00Z,ios,IN
ord_2017,cus_617,INR,5343.04,2026-07-24T04:30:00Z,ios,IN
ord_2018,cus_618,INR,4004.65,2026-08-06T04:30:00Z,android,IN
ord_2019,cus_619,INR,7325.08,2026-08-07T04:30:00Z,android,IN
ord_2020,cus_620,INR,7073.32,2026-08-07T04:30:00Z,ios,IN
ord_2021,cus_621,INR,4547.50,2026-07-23T04:30:00Z,web,IN
ord_2022,cus_622,USD,301.64,2026-07-26T04:30:00Z,android,IN
ord_2023,cus_623,INR,3903.18,2026-08-05T04:30:00Z,android,IN
ord_2024,cus_624,INR,6053.14,2026-08-05T04:30:00Z,android,IN
ord_2025,cus_625,INR,2016.66,2026-08-01T04:30:00Z,web,IN
ord_2026,cus_626,INR,629.47,2026-07-22T04:30:00Z,ios,IN
ord_2027,cus_627,INR,6030.71,2026-07-30T04:30:00Z,ios,IN
ord_2028,cus_628,INR,7623.94,2026-07-22T04:30:00Z,web,IN
ord_2029,cus_629,INR,4145.28,2026-07-31T04:30:00Z,android,IN
ord_2030,cus_630,INR,5930.48,2026-08-02T04:30:00Z,android,IN
ord_2031,cus_631,INR,2241.29,2026-07-25T04:30:00Z,ios,IN
ord_2032,cus_632,INR,4335.57,2026-07-24T04:30:00Z,android,IN
ord_2033,cus_633,USD,18.51,2026-07-23T04:30:00Z,android,IN
ord_2034,cus_634,INR,7726.60,2026-08-01T04:30:00Z,ios,IN
ord_2035,cus_635,INR,5298.19,2026-08-07T04:30:00Z,android,IN
ord_2036,cus_636,INR,3776.62,2026-07-31T04:30:00Z,ios,IN
ord_2037,cus_637,INR,2914.23,2026-08-05T04:30:00Z,ios,IN
ord_2038,cus_638,INR,2193.14,2026-07-27T04:30:00Z,android,IN
ord_2039,cus_639,INR,6716.96,2026-07-25T04:30:00Z,ios,IN
ord_2040,cus_640,INR,5787.75,2026-07-27T04:30:00Z,ios,IN
ord_2041,cus_641,INR,5679.23,2026-08-07T04:30:00Z,web,IN
ord_2042,cus_642,INR,7422.39,2026-08-01T04:30:00Z,web,IN
ord_2043,cus_643,INR,4658.31,2026-08-06T04:30:00Z,ios,IN
ord_2044,cus_644,USD,222.50,2026-08-02T04:30:00Z,ios,IN
ord_2045,cus_645,INR,3672.38,2026-07-22T04:30:00Z,web,IN
ord_2046,cus_646,INR,7692.73,2026-08-07T04:30:00Z,web,IN
ord_2047,cus_647,INR,3244.68,2026-08-02T04:30:00Z,android,IN
ord_2048,cus_648,INR,2356.14,2026-08-08T04:30:00Z,android,IN
ord_2049,cus_649,INR,3046.72,2026-08-09T04:30:00Z,ios,IN
ord_2050,cus_650,INR,2359.70,2026-08-01T04:30:00Z,ios,IN
ord_2051,cus_651,INR,7564.28,2026-08-04T04:30:00Z,web,IN
ord_2052,cus_652,INR,7432.59,2026-08-04T04:30:00Z,ios,IN
ord_2053,cus_653,INR,7661.52,2026-08-03T04:30:00Z,ios,IN
ord_2054,cus_654,INR,1083.99,2026-07-26T04:30:00Z,android,IN
ord_2055,cus_655,USD,358.62,2026-07-30T04:30:00Z,web,IN
ord_2056,cus_656,INR,5804.73,2026-08-04T04:30:00Z,web,IN
ord_2057,cus_657,INR,1877.47,2026-07-24T04:30:00Z,android,IN
ord_2058,cus_658,INR,1431.83,2026-08-02T04:30:00Z,android,IN
ord_2059,cus_659,INR,5718.84,2026-07-23T04:30:00Z,ios,IN
ord_2060,cus_660,INR,6732.56,2026-08-03T04:30:00Z,android,IN
ord_2061,cus_661,INR,5890.56,2026-07-25T04:30:00Z,android,IN
ord_2062,cus_662,INR,4051.05,2026-08-09T04:30:00Z,ios,IN
ord_2063,cus_663,INR,2593.56,2026-07-27T04:30:00Z,ios,IN
ord_2064,cus_664,INR,4393.84,2026-08-02T04:30:00Z,web,IN
ord_2065,cus_665,INR,7943.67,2026-07-29T04:30:00Z,ios,IN
ord_2066,cus_666,USD,259.95,2026-07-26T04:30:00Z,web,IN
ord_2067,cus_667,INR,1574.73,2026-08-02T04:30:00Z,android,IN
ord_2068,cus_668,INR,2508.28,2026-08-09T04:30:00Z,android,IN
ord_2069,cus_669,INR,5854.73,2026-07-26T04:30:00Z,ios,IN
ord_2070,cus_670,INR,4660.12,2026-07-31T04:30:00Z,android,IN
ord_2071,cus_671,INR,490.66,2026-08-09T04:30:00Z,android,IN
ord_2072,cus_672,INR,4328.89,2026-07-31T04:30:00Z,web,IN
ord_2073,cus_673,INR,3234.30,2026-07-24T04:30:00Z,android,IN
ord_2074,cus_674,INR,5658.78,2026-07-31T04:30:00Z,android,IN
ord_2075,cus_675,INR,5300.81,2026-08-03T04:30:00Z,web,IN
ord_2076,cus_676,INR,1793.47,2026-07-25T04:30:00Z,web,IN
ord_2077,cus_677,USD,80.62,2026-07-29T04:30:00Z,ios,IN
ord_2078,cus_678,INR,5929.87,2026-08-03T04:30:00Z,ios,IN
ord_2079,cus_679,INR,4337.35,2026-07-28T04:30:00Z,ios,IN
ord_2080,cus_680,INR,1715.59,2026-07-31T04:30:00Z,web,IN
ord_2081,cus_681,INR,2926.93,2026-08-01T04:30:00Z,web,IN
ord_2082,cus_682,INR,3906.48,2026-07-30T04:30:00Z,ios,IN
ord_2083,cus_683,INR,3209.22,2026-07-27T04:30:00Z,ios,IN
ord_2084,cus_684,INR,4479.55,2026-08-01T04:30:00Z,web,IN
ord_2085,cus_685,INR,7155.24,2026-08-07T04:30:00Z,web,IN
ord_2086,cus_686,INR,2788.85,2026-08-06T04:30:00Z,android,IN
ord_2087,cus_687,INR,334.67,2026-08-02T04:30:00Z,android,IN
ord_2088,cus_688,USD,95.57,2026-08-02T04:30:00Z,web,IN
ord_2089,cus_689,INR,5183.20,2026-07-30T04:30:00Z,android,IN
ord_2090,cus_690,INR,968.13,2026-07-29T04:30:00Z,web,IN
ord_2091,cus_691,INR,4397.86,2026-07-25T04:30:00Z,web,IN
ord_2092,cus_692,INR,5352.53,2026-08-06T04:30:00Z,web,IN
ord_2093,cus_693,INR,3800.39,2026-07-30T04:30:00Z,ios,IN
ord_2094,cus_694,INR,1810.09,2026-07-23T04:30:00Z,ios,IN
ord_2095,cus_600,INR,6899.39,2026-07-30T04:30:00Z,android,IN
ord_2096,cus_601,INR,6353.61,2026-08-06T04:30:00Z,web,IN
ord_2097,cus_602,INR,239.91,2026-07-28T04:30:00Z,android,IN
ord_2098,cus_603,INR,1338.48,2026-08-06T04:30:00Z,ios,IN
ord_2099,cus_604,USD,267.15,2026-08-02T04:30:00Z,android,IN
ord_2100,cus_605,INR,2944.94,2026-08-03T04:30:00Z,android,IN
ord_2101,cus_606,INR,4244.31,2026-07-28T04:30:00Z,web,IN
ord_2102,cus_607,INR,1752.66,2026-07-25T04:30:00Z,android,IN
ord_2103,cus_608,INR,1913.12,2026-07-23T04:30:00Z,android,IN
ord_2104,cus_609,INR,6841.71,2026-07-28T04:30:00Z,web,IN
ord_2105,cus_610,INR,861.33,2026-08-03T04:30:00Z,ios,IN
ord_2106,cus_611,INR,1924.93,2026-08-02T04:30:00Z,android,IN
ord_2107,cus_612,INR,3294.22,2026-07-24T04:30:00Z,web,IN
ord_2108,cus_613,INR,7057.93,2026-07-29T04:30:00Z,web,IN
ord_2109,cus_614,INR,1093.27,2026-08-02T04:30:00Z,web,IN
ord_2110,cus_615,USD,36.41,2026-08-05T04:30:00Z,ios,IN
ord_2111,cus_616,INR,1654.07,2026-08-03T04:30:00Z,android,IN
ord_2112,cus_617,INR,3052.83,2026-07-25T04:30:00Z,ios,IN
ord_2113,cus_618,INR,6054.17,2026-08-02T04:30:00Z,web,IN
ord_2114,cus_619,INR,2941.29,2026-07-25T04:30:00Z,ios,IN
ord_2115,cus_620,INR,7824.36,2026-07-31T04:30:00Z,android,IN
ord_2116,cus_621,INR,202.48,2026-07-27T04:30:00Z,ios,IN
ord_2117,cus_622,INR,6150.46,2026-08-09T04:30:00Z,ios,IN
ord_2118,cus_623,INR,4273.69,2026-08-07T04:30:00Z,android,IN
ord_2119,cus_624,INR,1811.24,2026-08-08T04:30:00Z,web,IN
